"filename", "language", "JSON", "C++", "CMake", "HTML", "Dart", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 369, 570, 48, 182, 4401, 82, 72, 761, 115, 9, 415, 596, 7620
